Colorado Building ID,Building Street Address (ESPM),Building City (ESPM),Latitude,Longitude,Gross Floor Area (Tax Assessor),Primary Property Type - Portfolio Manager-Calculated,Weather Normalized Site EUI (kBtu/ft²),Gross Floor Area (ESPM),Total GHG Emissions (Metric Tons CO2e),Building Street Address (Tax Assessor)
1558,8300 NORTHFIELD BLVD,DENVER,39.7805123,-104.8919448,,Government,,,,8300 NORTHFIELD BLVD
1729,12695 E. 39th Ave,Denver,39.7715362,-104.8380971,153600.0,Manufacturing/Industrial Plant,28.6,153813.0,367.20,12695 E. 39TH AVE
1908,5180 Fox Street,Denver,39.790407,-104.9938953,73480.0,Non-Refrigerated Warehouse,38.1,76038.0,211.77,5180 FOX ST
2169,3375 Park Ave West,Denver,39.7632785,-104.99631,,Office,112.3,79395.0,675.59,3375 PARK AVE WEST
2006,4425 Lincoln Street,Denver,39.7769253,-104.9862997,72243.0,K-12 School,55.8,72243.0,297.81,4425 LINCOLN STREET
1559,8340 NORTHFIELD BLVD.,DENVER,39.7823336,-104.890707,1125000.0,LIFESTYLE CENTER,,1125000,,8340 NORTHFIELD BLVD.
1911,4849 Bannock Street,Denver,39.7853383,-104.991237,,Hotel,43.1,165625.0,692.40,4849 BANNOCK STREET
2408,1550 17th St.,Denver,39.7517547,-104.9989503,133500.0,Office,30.4,138900.0,541.18,1550 17TH ST.
1328,4800 Dahlia St,Denver,39.7841134,-104.9307049,102267.0,Non-Refrigerated Warehouse,43.6,106739.0,342.49,4800 DAHILA STREET
EB122,6265 Gunbarrel Avenue,Boulder,40.0628402,-105.2081454,152002.0,Non-Refrigerated Warehouse,85.5,151976.0,1583.59,6265 GUNBARREL AVE
1179,5150 Havana Street,Denver,39.7919747,-104.8651285,65737.0,Non-Refrigerated Warehouse,33.8,65737.0,171.72,5150 HAVANA STREET
C18358,4462 Continental Heights,Colorado Springs,38.9746702,-104.7447379,171992.0,Multifamily Housing,19.6,171992.0,400.48,4462 CONTINENTAL HTS
1730,12850 East 40th Avenue,Denver,39.772443,-104.8383404,200000.0,Manufacturing/Industrial Plant,106.9,200000.0,2494.68,12850 E. 40TH AVENUE
C10799,1603 FIRST ST,ALAMOSA,37.4737288,-105.8796313,,,,,,1603 FIRST ST
1560,8210 NORTHFIELD BLVD,DENVER,39.7839681,-104.8920983,139723.0,LIFESTYLE CENTER,,139723,,8210 NORTHFIELD BLVD
2173,2890 Brighton Blvd,Denver,39.7632592,-104.9868956,254500.0,Multifamily Housing,55.0,254500.0,1210.25,2890 BRIGHTON BLVD
EB208,2750 BROADWAY,BOULDER,40.0263115,-105.2814091,77065.0,URGENT CARE/CLINIC/OTHER OUTPATIENT,,77065,,2750 BROADWAY
1329,"5050 E. 50TH AVE. DENVER, CO 80216",Denver,39.7862442,-104.9294068,138987.0,Manufacturing/Industrial Plant,428.4,138987.0,4417.99,5050 E. 50TH AVE
2395,1720 Wazee St,Denver,39.7524662,-104.9981223,55374.0,Multifamily Housing,,55374.0,,1720 WAZEE ST
C17761,7725 Conifer Road,Denver,39.8369386,-104.9902738,68240.0,K-12 School,19.2,68240.0,162.02,7725 CONIFER ROAD
1180,5160 Havana Street,Denver,39.7919321,-104.8638228,86400.0,Non-Refrigerated Warehouse,43.0,86055.0,264.64,5160 HAVANA STREET
FC1233,3843 LAPORTE AVE,FORT COLLINS,40.5876545,-105.1459164,110000.0,REFRIGERATED WAREHOUSE,,110000,,3843 LAPORTE AVE
1913,4955 Bannock St,Denver,39.786371,-104.9906165,80279.0,Manufacturing/Industrial Plant,76.0,85778.0,660.15,4955 BANNOCK ST
C17778,1450 CHEYENNE MEADOWS RD,COLORADO SPRINGS,38.7833681,-104.8020535,131015.0,K-12 SCHOOL,,131015,,1450 CHEYENNE MEADOWS RD
C18433,7030 Crossbuck Pt,COLORADO SPRINGS,38.8427732,-104.6966663,,,,,,7030 Crossbuck Pt
2008,200 W Warner Place,Denver,39.7828702,-104.9908474,120000.0,Other - Lodging/Residential,80.6,126590.0,862.35,200 WEST 48TH AVE
C17779,2550 DORSET DR,COLORADO SPRINGS,38.8124642,-104.7817213,89000.0,K-12 SCHOOL,,89000,,2550 DORSET DR
C16355,3656 STAGECOACH,LONGMONT,40.1587307,-104.9859828,83968.0,LODGINGRESIDENTIAL,,83968,,3656 STAGECOACH
1270,4801-4885 Moline Street / 4800-4818 Lima Street,Denver,39.7841425,-104.8553952,98304.0,Non-Refrigerated Warehouse,32.9,98304.0,256.84,4801 MOLINE STREET
2405,1601 Blake St.,Denver,39.7509761,-104.9991878,62825.0,Office,73.9,69322.0,698.65,1601 BLAKE STREET
C16359,1051 6TH ST,GREELEY,40.4275843,-104.6952859,85564.0,MULTIFAMILY HOUSING,,85564,,1051 6TH ST
EB117,4600 SLEEPYTIME DR,BOULDER,40.0592617,-105.2196636,158257.0,MANUFACTURING/INDUSTRIAL PLANT,,158257,,4600 SLEEPYTIME DR
2034,"4250 Broadway, Denver, CO 80216, USA",Denver,39.774484,-104.987005,83330.0,Manufacturing/Industrial Plant,52.1,82772.0,277.45,4220 - 4250 BROADWAY
C18386,24 SHEOL ST,DURANGO,37.629906,-107.8144959,54581.0,MULTIFAMILY HOUSING,,54581,,24 SHEOL ST
FC5226,2260 W. Trilby Rd,Fort Collins,40.4954935,-105.117402,65313.0,Other/Specialty Hospital,124.2,64681.0,679.41,2260 W TRILBY RD
C18328,6951 Fox Way,Denver,39.8231733,-104.9950205,60000.0,K-12 School,57.0,54000.0,250.79,6951 FOX WAY
EB118,6055 Longbow Drive,Boulder,40.0649087,-105.2128599,,Manufacturing/Industrial Plant,,157949.0,,6055 LONGBOW DRIVE
1350,4801 e 46th avenue,Denver,39.7808506,-104.9301001,68000.0,Non-Refrigerated Warehouse,62.7,64618.0,249.84,4801 E 46TH AVENUE
FC4077,1508 CENTER AVE.,FORT COLLINS,40.5678869,-105.0837446,327274.0,PARKING,,327274,,1508 CENTER AVE.
C16764,3440 WEST YALE AVENUE,DENVER,39.6673948,-105.0310872,73744.0,K-12 SCHOOL,,73744,,3440 WEST YALE AVENUE
EB127,6400 Lookout Road,Boulder,40.0717091,-105.2041035,61440.0,Office,,61440.0,,6400 LOOKOUT ROAD
CB137,1500 Pearl Street,Boulder,40.0184704,-105.2752993,16426.0,Parking,152.4,16426.0,240.40,1500 PEARL STREET
2190,3310 Brighton Blvd,Denver,39.7681143,-104.9805714,65728.0,Self-Storage Facility,12.4,65728.0,62.81,3310 BRIGHTON BLVD
1330,5000 Dahlia Street,Denver,39.7880232,-104.9309044,77080.0,Non-Refrigerated Warehouse,41.7,77080.0,228.96,5000 DAHLIA STREET
C18337,1191 Larimer St,Denver,39.7463297,-105.0042413,137827.0,Residence Hall/Dormitory,89.1,137827.0,1333.94,1191 LARIMER ST
C16765,3000 S CLAYTON ST,DENVER,39.6612533,-104.9560433,87459.0,K-12 SCHOOL,,87459,,3000 S CLAYTON ST
2410,1600 17TH ST,DENVER,39.752233,-104.999227,140964.0,HOTEL,,140964,,1600 17TH ST
1994,1100 W. 47TH AVE,DENVER,39.7814747,-105.0010542,52077.0,WAREHOUSESTORAGE,,52077,,1100 W. 47TH AVE
C17007,323 W LAKE ST,FORT COLLINS,40.5685727,-105.0830387,327274.0,PARKING,,327274,,323 W LAKE ST
2174,2424 Delgany St,Denver,39.7597912,-104.9922018,97076.0,Self-Storage Facility,16.9,128799.0,180.47,2424 DELGANY ST
C16350,3001 S 23rd Ave,Greeley,40.3907393,-104.7158787,81922.0,Fitness Center/Health Club/Gym,58.4,87897.0,544.56,3001 23RD AVE
1333,5303 E 47th ave,Denver,39.7816589,-104.9259269,97495.0,Distribution Center,32.4,97495.0,209.77,5303 E 47TH AVE
1932,5055 Kalamath Street,Denver,39.788131,-105.0008936,83156.0,Non-Refrigerated Warehouse,53.5,83156.0,321.14,5055 KALAMATH STREET
C17780,610 BROOKSHIRE AVE,COLORADO SPRINGS,38.8058427,-104.8130286,56893.0,K-12 SCHOOL,,56893,,610 BROOKSHIRE AVE
FC4088,2150 CENTRE AVE.,Fort Collins,40.5603012,-105.0811712,122498.0,Office,73.0,122494.0,812.31,2150 CENTRE AVE.
C16371,901 19TH ST,GREELEY,40.40842,-104.6929871,91760.0,EDUCATION,,91760,,901 19TH ST
2041,3461 Ringsby Ct.,Denver,39.772288,-104.9837841,60000.0,Office,70.6,57445.0,406.97,3461 RINGSBY CT
EB139,3303 30th St,Boulder,40.0352115,-105.2546622,60466.0,Veterinary Office,117.8,59307.0,771.67,3303 30TH ST
C17784,2880 FERBER DR,COLORADO SPRINGS,38.7926911,-104.7495417,59245.0,K-12 SCHOOL,,59245,,2880 FERBER DR
FC4089,2150 CENTRE AVE.,Fort Collins,40.5603012,-105.0811712,108561.0,Laboratory,157.1,108550.0,1510.28,2150 CENTRE AVE.
EB146,5400 Airport Blvd.,Boulder,40.0345571,-105.2270039,83161.0,Office,39.4,82280.0,330.52,5400 AIRPORT BLVD.
1583,"9650, 9690 East 40th Avenue",Denver,39.7713623,-104.8757396,231759.0,Distribution Center,27.8,179312.0,421.04,9650 E. 40TH AVE
C16372,1919 68TH AVE,GREELEY,40.4084091,-104.7922032,,,,,,1919 68TH AVE
FC5241,281 Willow Street Fort Collins Co 80524,Fort Collins,40.5904981,-105.0745404,83567.0,Multifamily Housing,49.1,92633.0,433.36,281 WILLOW ST
C18338,5455 New Car Drive,Colorado Springs,38.9385509,-104.7255832,177512.0,Senior Living Community,,177512.0,,5455 NEW CAR DR
1181,5454 Havana Street,Denver,39.7950626,-104.8651026,77009.0,Non-Refrigerated Warehouse,28.8,77009.0,192.16,5454 HAVANA STREET
EB173,5395 Pearl Parkway,Boulder,40.0266872,-105.2283541,63710.0,Office,91.6,60245.0,587.66,5395 PEARL PARKWAY
C16757,2300 SOUTH SAINT PAUL STREET,DENVER,39.6745176,-104.9500958,66092.0,K-12 SCHOOL,,66092,,2300 SOUTH SAINT PAUL STREET
FC5242,255 SPRING CT,FORT COLLINS,40.561481,-105.078652,360475.0,MULTIPLE UNIT,,360475,,255 SPRING CT
EB101,4777 North Broadway St,Boulder,40.0244858,-105.2820459,52315.0,Hotel,39.1,52315.0,208.81,4777 BROADWAY
FC1322,1027 S LEMAY AVE,FORT COLLINS,40.5728438,-105.0584638,242800.0,HEALTHCARE,,242800,,1027 S LEMAY AVE
1918,5151 FOX ST,DENVER,39.7882374,-104.9956595,,REPAIR SERVICES (VEHICLE,,,,5151 FOX ST
C16758,2626 WEST EVANS AVENUE,DENVER,39.6780401,-105.0186488,95623.0,K-12 SCHOOL,,95623,,2626 WEST EVANS AVENUE
1575,10000 E 45th Avenue,Denver,39.7784637,-104.8710294,145908.0,Distribution Center,36.2,145908.0,530.34,10000 E 45TH AVE
C16759,2285 S FEDERAL BLVD,DENVER,39.6771629,-105.0268847,309764.0,K-12 SCHOOL,,309764,,2285 S FEDERAL BLVD
1186,5555 Joliet Street,Denver,39.7970978,-104.8623974,105000.0,Non-Refrigerated Warehouse,36.3,105519.0,310.16,5555 JOLIET STREET
C16771,6700 EAST VIRGINIA AVENUE,DENVER,39.7071131,-104.9093196,53370.0,K-12 SCHOOL,,53370,,6700 EAST VIRGINIA AVENUE
2009,4751 BROADWAY,DENVER,39.7825617,-104.9886558,98704.0,MANUFACTURING/INDUSTRIAL PLANT,,98704,,4751 BROADWAY
C17003,77 Stadium Dr,Alamosa,37.4745733,-105.8810236,70000.0,Multifamily Housing,6.1,70000.0,21.79,77 STADIUM DR
EB183,1729 28th St,Boulder,40.01853,-105.258871,130355.0,Retail Store,53.9,130355.0,768.35,1729 28TH ST
EB236,1155 Canyon Blvd,Boulder,40.0160743,-105.2800102,57884.0,Office,40.1,57884.0,329.61,1155 CANYON BLVD
1469,4350 Kearney St,Denver,39.7769194,-104.9164368,92160.0,Manufacturing/Industrial Plant,45.5,92160.0,321.14,4350 KEARNEY ST
FC5243,W STUART ST,FORT COLLINS,40.563124,-105.1059637,89146.0,MULTIPLE UNIT,,89146,,W STUART ST
C16365,2300 12TH AVE,GREELEY,40.39899,-104.6984169,89086.0,EDUCATION,,89086,,2300 12TH AVE
C17011,4645 Clyde Way,Colorado Springs,38.8983511,-104.8042209,,Residence Hall/Dormitory,,140008.0,,4645 CLYDE WAY
EB176,3550 Frontier Avenue,Boulder,40.0214513,-105.2473984,125333.0,Mixed Use Property,58.6,120671.0,506.45,3550 FRONTIER AVENUE
EB225,5397 S Boulder Road,Boulder,39.9864213,-105.2279678,72500.0,Hotel,49.2,72500.0,219.73,5397 S BOULDER ROAD
1160,5301 Oswego St,Denver,39.7938604,-104.851189,54738.0,Manufacturing/Industrial Plant,56.7,54738.0,220.33,5301 OSWEGO ST
LIC100,6300 Diagonal Hwy,Boulder,40.0880214,-105.1974277,2516179.0,Other,266.5,2497051.0,68107.57,6300 DIAGONAL HW
C16366,2100 HIGHWAY 119,LONGMONT,40.162512,-105.0532098,89370.0,WAREHOUSESTORAGE,,89370,,2100 HIGHWAY 119
FC4095,1380 CENTER AVE.,Fort Collins,40.5684883,-105.0834236,60652.0,Laboratory,247.7,60652.0,1170.35,1380 CENTER AVE.
1456,Complete Basement Systems,Denver,39.7300982,-104.9974409,67046.0,Non-Refrigerated Warehouse,61.2,67046.0,285.94,4686 IVY ST.
1190,5175 Joliet Street,Denver,39.7915955,-104.8625052,119983.0,Distribution Center,,119983.0,,5175 JOLIET STREET
EB158,6025 Arapahoe Road,Boulder,40.0158968,-105.2116342,74540.0,Vehicle Dealership,66.7,74540.0,380.43,6025 ARAPAHOE ROAD
C16439,3247 23rd AVENUE,EVANS,40.3836149,-104.7192928,,Retail Store,122.0,144601.0,1836.37,3247 23RD AVE
NB103,2550 Canyon Blvd,Boulder,40.0169376,-105.2609418,136547.0,Hotel,52.9,136547.0,709.24,2550 CANYON BLVD
C16780,3950 S HOLLY ST,DENVER,39.6466241,-104.921592,264719.0,K-12 SCHOOL,,264719,,3950 S HOLLY ST
1761,8000 E. 36th Ave.,Denver,39.7658003,-104.89525,236400.0,Office,38.5,236400.0,1251.59,8000 E. 36TH AVE.
1935,4800 Osage St,Denver,39.7844279,-105.0037687,108000.0,Non-Refrigerated Warehouse,7.1,108000.0,64.80,4800 OSAGE ST
1334,5501-85 East 47th Avenue,Denver,39.7816864,-104.9240832,80751.0,Manufacturing/Industrial Plant,45.2,80751.0,241.13,5501-85 EAST 47TH AVENUE
C16773,1000 SOUTH HOLLY STREET,DENVER,39.6973515,-104.9209588,80988.0,K-12 SCHOOL,,80988,,1000 SOUTH HOLLY STREET
2175,2323 DELGANY ST,DENVER,39.7609919,-104.9923403,87905.0,OFFICE,,87905,,2323 DELGANY ST
C16840,2401 S MAIN ST,LAMAR,38.0680853,-102.6163472,59016.0,COLLEGE/UNIVERSITY,,59016,,2401 S MAIN ST
2192,3001 Brighton Blvd,Denver,39.7653355,-104.9860741,160340.0,Office,49.5,160340.0,783.13,3001 BRIGHTON BLVD
1338,4625 Forest St,Denver,39.7814197,-104.9277519,128157.0,Distribution Center,,128157.0,,4625 FOREST ST
C17792,1410 Dry Creek Dr,Longmont,40.1406201,-105.1329141,55000.0,Hotel,,55000.0,,1410 DRY CREEK DRIVE
2397,1730 Blake Street,Denver,39.7518587,-104.9975014,56897.0,Office,44.9,65114.0,284.92,1730 BLAKE STREET
2042,4300 Brighton Blvd,Denver,39.7773595,-104.968274,,Data Center,882.7,179691.0,21960.97,4300 BRIGHTON BLVD
C16449,3180 County Road 5,Erie,40.0473188,-105.0162931,162233.0,K-12 School,52.7,195823.0,988.41,3180 COUNTY ROAD 5
1922,510 E. 51st Ave.,Denver,39.7884714,-104.980631,80752.0,Mixed Use Property,74.8,72721.0,438.07,510 E 51ST AVE
C17790,9750 Grand Lawn Cir,Colorado Springs,38.9739351,-104.7334953,137069.0,K-12 School,,137069.0,,9750 GRAND LAWN CIR
2181,2797 Wewatta Way,Denver,39.7628258,-104.988989,252828.0,Multifamily Housing,,252828.0,,2797 WEWATTA WAY
1351,4800 EAST 48TH AVENUE,DENVER,39.7827802,-104.9304832,167180.0,Distribution Center,24.7,167180.0,276.41,4800 EAST 48TH AVENUE
C16443,2300 12TH AVE,GREELEY,40.39899,-104.6984169,148595.0,EDUCATION,,148595,,2300 12TH AVE
1167,11400 East 53rd Avenue,Denver,39.7921659,-104.8569448,107000.0,Distribution Center,41.1,107000.0,288.85,11400 E. 53RD AVE.
C17019,760 North Campus Heights,Colorado Springs,38.9087408,-104.8126276,53100.0,Race Track,,53100.0,,760 NORTH CAMPUS HEIGHTS
FC5222,4036 Redman Drive,Fort Collins,40.5914815,-105.0026829,71300.0,Distribution Center,24.7,71200.0,137.27,4036 REDMAN DR
2206,3000 Lawrence Street,Denver,39.7615033,-104.9789994,65000.0,Office,35.5,67127.0,223.66,3000 LAWRENCE STREET
1311,5140 COLORADO BLVD.,DENVER,39.7897173,-104.9392049,54806.0,DISTRIBUTION CENTER,,54806,,5140 COLORADO BLVD.
C16376,2901 1st Ave.,Greeley,40.3895082,-104.6794027,111618.0,Refrigerated Warehouse,108.9,106563.0,1561.70,2901 1ST AVE
1461,6405 Stapleton Drive North,Denver,39.7901357,-104.9838186,167904.0,Manufacturing/Industrial Plant,75.6,167904.0,1592.37,6405 E STAPLETON NORTH DR
C17799,17956 E 84th Ave,Commerce City,39.8486098,-104.7777594,312480.0,Non-Refrigerated Warehouse,18.8,312480.0,620.52,17956 E. 84TH
FC4113,963 W. PITKIN ST.,Fort Collins,40.5703421,-105.0930553,119615.0,Residence Hall/Dormitory,62.7,119615.0,641.53,963 W. PITKIN ST.
C16849,5900 S. Santa Fe Drive,Littleton,39.6080824,-105.0187252,224104.0,College/University,77.9,307730.0,2334.83,5900 S SANTA FE DRIVE
1936,4900 Osage St.,Denver,39.7856743,-105.0038256,176800.0,Non-Refrigerated Warehouse,33.5,176800.0,489.59,4900 OSAGE
C16465,920 47th AVENUE,GREELEY,40.4227674,-104.7547031,,Retail Store,103.6,207037.0,2386.49,920 47TH AVE
2415,1555 Blake St.,Denver,39.750554,-104.9997214,110099.0,Mixed Use Property,53.8,149755.0,739.17,1555 BLAKE ST.
NB107,1048 Pearl Street,Boulder,40.0171722,-105.2817477,175638.0,Office,68.0,175638.0,1277.98,1048 PEARL ST
C16775,7125 CHERRY CREEK N DRIVE,DENVER,39.6883721,-104.9059698,171950.0,K-12 SCHOOL,,171950,,7125 CHERRY CREEK N DRIVE
EB186,2798 Arapahoe Ave,Boulder,40.0137992,-105.2608066,159050.0,Strip Mall,53.4,159134.0,979.00,2580 ARAPAHOE AVENUE
FC1491,4100 CARIBOU DR,FORT COLLINS,40.5325041,-105.0319982,52000.0,EDUCATION,,52000,,4100 CARIBOU DR
1637,11075 East 40th Avenue,Denver,39.7741301,-104.8603803,200000.0,Distribution Center,12.5,200000.0,167.18,11075 EAST 40TH AVENUE
C16783,5400 S JAY CIRCLE,DENVER,39.6174664,-105.0641894,98114.0,K-12 SCHOOL,,98114,,5400 S JAY CIRCLE
FC4118,551 W. PITKIN ST.,Fort Collins,40.5702187,-105.0859512,95600.0,College/University,188.2,95600.0,1303.77,551 W. PITKIN ST.
1634,10707 East 40th Avenue,Denver,39.7735912,-104.8632267,50000.0,Distribution Center,22.9,50000.0,66.47,10707 EAST 40TH AVENUE
C18922,395 S Pratt Pkwy,Longmont,40.1553701,-105.1071697,59099.0,Mixed Use Property,51.5,59099.0,341.44,395 S Pratt Pkwy
C16858,2200 Bonforte Blvd,Pueblo,38.3091368,-104.5754459,131224.0,College/University,,127135.0,,2200 BONFORTE BLVD
1272,10241 EAST 51ST,DENVER,39.7902771,-104.8738177,180000.0,MANUFACTURING/INDUSTRIAL PLANT,,180000,,10241 EAST 51ST
1883,5141 N. Franklin,Denver,39.7891768,-104.9697424,225994.0,Manufacturing/Industrial Plant,637.7,201445.0,13997.75,5141 FRANKLIN ST
EB193,1601 29th Street,Boulder,40.0151738,-105.2568678,59249.0,Other - Mall,41.7,59249.0,296.70,1601 29TH STREET
C16859,2200 Bonforte Blvd,Pueblo,38.3091368,-104.5754459,137300.0,College/University,,128267.0,,2200 BONFORTE BLVD
1340,4675 Holly Street,Denver,39.780926,-104.9220344,74650.0,Non-Refrigerated Warehouse,38.8,74650.0,217.03,4675 HOLLY STREET
C17021,1420 Austin Bluffs Pkwy,Colorado Springs,38.8932062,-104.7996546,97085.0,Fitness Center/Health Club/Gym,98.7,97085.0,814.77,1420 AUSTIN BLUFFS PKWY
EB230,603-673 S. Broadway,Boulder,39.984741,-105.2505529,182961.0,Strip Mall,115.3,130082.0,1322.00,603-673 S. BROADWAY
1638,10875 East 40th Avenue,Denver,39.7739083,-104.8622458,110054.0,Non-Refrigerated Warehouse,21.3,110054.0,173.96,10875 EAST 40TH AVENUE
1748,10550 Smith Rd,Denver,39.7674238,-104.863882,350800.0,Prison/Incarceration,111.8,384116.0,3309.52,10550 SMITH RD
C16377,7990 E INTERSTATE 25 FRONTAGE RD,FREDERICK,40.1158757,-104.9785195,96000.0,MANUFACTURINGINDUSTRIAL,,96000,,7990 E INTERSTATE 25 FRONTAGE RD
2399,1401 17th Street,Denver,39.7513285,-104.9970556,209017.0,Office,45.9,209017.0,1332.94,1401 17TH STREET
C17797,244 Dundee Ave,Greeley,40.4309359,-104.796574,90137.0,Office,,88760.0,,244 DUNDEE AVENUE
C12444,310 Interlocken Pkwy,Broomfield,39.9184058,-105.1108372,121982.0,Office,93.8,121982.0,1506.00,310 INTERLOCKEN PKWY
1579,4690 Geneva Street,Denver,39.7816175,-104.8681332,347984.0,Non-Refrigerated Warehouse,18.6,348282.0,687.76,4690 GENEVA STREET
C16380,2200 O St.,Greeley,40.4509854,-104.7138147,74204.0,Prison/Incarceration,,74204.0,,2200 O ST
2012,700 W 48th Ave,Denver,39.7829348,-104.9954378,53847.0,Non-Refrigerated Warehouse,41.8,53847.0,171.77,700 W. 48TH AVENUE
C17807,515 IRISH DR.,Fort Collins,40.5941216,-105.1222409,52291.0,K-12 School,51.3,53524.0,210.76,515 IRISH DRIVE
1312,3410 S Galena St Ste 150,Denver,39.6548284,-104.8695891,83520.0,Self-Storage Facility,41.3,78423.0,353.60,3410 S GALENA ST
FC1412,3405 Timberline,Fort Collins,40.5402414,-105.0410385,106534.0,Office,38.8,107013.0,520.55,3405 S TIMBERLINE RD
C17862,11565 Destination Dr,Broomfield,39.9066095,-105.0953331,91200.0,Multifamily Housing,38.0,91200.0,348.38,11565 DESTINATION DR
C18285,8019 raspberry way,frederick,40.1181251,-104.9781475,54261.0,Vehicle Dealership,109.8,50000.0,413.98,8019 RASPBERRY WAY
2148,1700 E. 28th Ave.,Denver,39.7563751,-104.9680001,270987.0,K-12 School,63.4,270987.0,1264.28,1700 E. 28TH AVE.
C16453,2400 W 29TH ST,GREELEY,40.3886509,-104.7192509,171725.0,RETAIL,,171725,,2400 W 29TH ST
2184,1901 31ST STREET,DENVER,39.7696,-104.9847978,275387.0,MANUFACTURING/INDUSTRIAL PLANT,,275387,,1901 31ST STREET
1673,12330/12360 E 46th AVE & 13100 E Albrook Dr.,Denver,39.7781392,-104.8442746,137773.0,Non-Refrigerated Warehouse,17.3,592573.0,788.76,12330 E 46TH AVE
C16481,5151 29TH ST,GREELEY,40.3912889,-104.7630326,326092.0,LODGINGRESIDENTIAL,,326092,,5151 29TH ST
2207,2949 California Street,Denver,39.7583089,-104.9761369,82164.0,K-12 School,35.1,85087.0,173.79,2949 CALIFORNIA STREET
1870,5395 Franklin St,Denver,39.7950153,-104.9708027,67886.0,Manufacturing/Industrial Plant,124.0,67000.0,1156.86,5395 FRANKLIN ST
1343,4770 Forest St,Denver,39.7834157,-104.9251971,138000.0,Distribution Center,31.9,138000.0,306.93,4770 FOREST ST
C16784,150 S PEARL ST,DENVER,39.7136712,-104.979796,110849.0,K-12 SCHOOL,,110849,,150 S PEARL ST
NB113,1023 WALNUT,BOULDER,40.0168576,-105.2817478,113716.0,OFFICE,,113716,,1023 WALNUT
C17857,5400 N CENTRAL PARK BLVD,DENVER,39.7954902,-104.8840915,100066.0,K-12 SCHOOL,,100066,,5400 N CENTRAL PARK BLVD
1764,7506 E 36TH AVE,DENVER,39.766987,-104.9002868,207611.0,RETAIL,,207611,,7506 E 36TH AVE
EB196,3333 Walnut Street,Boulder,40.0202053,-105.2489631,154476.0,Office,75.9,153612.0,1093.49,3333 WALNUT STREET
1818,7111 Montview Blvd.,Denver,39.7476038,-104.9053885,202718.0,K-12 School,44.8,202718.0,696.47,7111 MONTVIEW BLVD.
FC4122,1009 W LAUREL ST,FORT COLLINS,40.5772271,-105.0940423,104898.0,COLLEGE/UNIVERSITY,,104898,,1009 W LAUREL ST
C16860,2200 Bonforte Blvd,Pueblo,38.3091368,-104.5754459,67500.0,College/University,,67500.0,,2200 BONFORTE BLVD
C16406,1200 Hidden Valley Pkwy,Severance,40.5031829,-104.8556774,165000.0,K-12 School,131.8,165000.0,1726.77,1200 Hidden Valley Pkwy
1017,6951 Tower Road,Denver,39.8233356,-104.7726533,108548.0,Hotel,77.9,108548.0,742.30,6951 TOWER ROAD
2053,4600 Humboldt,Denver,39.7791241,-104.970732,170400.0,Indoor Arena,64.6,237959.0,1153.90,4600 HUMBOLDT
1539,8075 E 40th Avenue,Denver,39.7733019,-104.8944588,60000.0,Manufacturing/Industrial Plant,51.0,60000.0,255.50,8075 E 40TH AVENUE
FC4107,400 UNIVERSITY AVE.,Fort Collins,40.5736979,-105.0812521,124096.0,College/University,89.4,124096.0,857.63,400 UNIVERSITY AVE.
1635,10700 EAST 40TH AVENUE,DENVER,39.7722413,-104.8631531,69696.0,NON-REFRIGERATED WAREHOUSE,,69696,,10700 EAST 40TH AVENUE
EB169,4888 Pearl East Circle,Boulder,40.0205946,-105.2391664,60662.0,Office,113.0,60484.0,784.65,4888 PEARL EAST CIRCLE
C16853,2200 Bonforte Blvd,Pueblo,38.3091368,-104.5754459,63012.0,College/University,,63012.0,,2200 BONFORTE BLVD
1639,11000 E 40th Avenue,Denver,39.7724012,-104.8595209,164420.0,Non-Refrigerated Warehouse,38.5,164420.0,415.39,11000 E 40TH AVENUE
1588,12025 E 45th Ave,Denver,39.7785764,-104.8496551,71232.0,Police Station,92.1,71232.0,795.53,12025 E 45TH AVE
NB138,2530 JUNCTION PL,BOULDER,40.0269348,-105.2506724,73233.0,UNDERGROUND PARKING STRUCTURE,,73233,,2530 JUNCTION PL
1310,5150 Colorado Boulevard,Denver,39.7905387,-104.9373397,88975.0,NON-REFRIGERATED WAREHOUSE,,88975,,5150 COLORADO BOULEVARD
EB190,1900 29TH STREET,BOULDER,40.0197625,-105.2555715,150281.0,Government,,150281,,1900 29TH STREET
C16854,2200 Bonforte Blvd,Pueblo,38.3091368,-104.5754459,59863.0,College/University,,59863.0,,2200 BONFORTE BLVD
1752,9651 E Martin Luther King Blvd,Denver,39.7601535,-104.8884322,60264.0,Other - Recreation,152.2,60264.0,787.08,9651 E MARTIN LUTHER KING BLVD
1771,2810 Quebec St,Denver,39.7562514,-104.9026668,59453.0,Supermarket/Grocery Store,146.1,59453.0,984.50,2810 QUEBEC ST
1161,11701 E 53rd Ave,Denver,39.7938448,-104.8518293,81981.0,Non-Refrigerated Warehouse,45.1,81981.0,320.15,11701 E 53RD AVE
FC1515,775 W Lake St,Fort Collins,40.5683213,-105.0909974,365022.0,Multifamily Housing,42.8,365022.0,1938.45,775 W LAKE
C16408,2300 12TH AVE,GREELEY,40.39899,-104.6984169,115343.0,EDUCATION,,115343,,2300 12TH AVE
C16382,1201 METAL CONTAINER CT,WINDSOR,40.4668257,-104.8622521,180182.0,MANUFACTURING/INDUSTRIAL PLANT,,180182,,1201 METAL CONTAINER CT
